_id,name,category,phone,website,address,postal_code,municipality,city,description,geometry
160,Toronto Tourist Information Centre,Visitor Information,416-392-9300,https://www.toronto.ca/explore-enjoy/visitor-services/tourist-information-centres/,65 Front St W,M5J 1E6,former Toronto,Toronto,"The Toronto Tourist Information Centre provides travel advice and information to all its customers. Services include free Wi-Fi service, brochures and souvenirs. Located at the entrance to the Skywalk.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38178, 43.64482]]}"
161,Toronto Zoo,Attraction,416-392-5900,https://www.torontozoo.com/,2000 Meadowvale Rd,M1B 5W8,Scarborough,Toronto,"The Toronto Zoo is one of the largest zoos in the world at 287 hectares (710 acres) and is known for interactive education and conservation activities. It is currently home to 2 giant pandas, and more than 5,000 animals representing over 500 species.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.18229, 43.82034]]}"
162,Toronto's First Post Office,Museum,416-865-1833,http://www.townofyork.com/,260 Adelaide St E,M5A 1N1,former Toronto,Toronto,Toronto's First Post Office acts as a museum but also continues to operate as a full service Canada Post office. Admission to the museum is by donation.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3704, 43.6519]]}"
163,Travellers' Aid Society of Toronto,Visitor Information,416-366-7788,https://www.travelersaid.org/blog/tai-members/travellers-aid-toronto/,65 Front St W,M5J 1E6,former Toronto,Toronto,Travellers' Aid Society of Toronto operates two desks; one at Pearson International Airport and the other within Union Station's grand hall. They offer free services to the general travelling public.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38061, 43.64522]]}"
164,Trinity Square,Landmark,416-392-2489,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=238,19 Trinity Sq,M5G 1B1,former Toronto,Toronto,"Located in between the Toronto Eaton Centre and Old City Hall, the park features a fountain, ornamental pond, a labryrinth and seating; the park is a hotspot for music and events.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38162, 43.6547]]}"
165,Ukrainian Museum of Canada,Museum,416-923-9861,http://umcontario.com/,620 Spadina Ave,M5S 2H4,former Toronto,Toronto,"The Ukrainian Museum of Canada features over 4,000 artifacts. These artifacts include prints, coins, maps jewellery, textiles and historic costumes.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.4021, 43.66198]]}"
166,Union Station,Transportation,416-392-2489,https://torontounion.ca/,65 Front St W,M5J 1E6,former Toronto,Toronto,"Union Station is the busiest transportation hub in all of Canada. It serves more than 250,000 passengers daily. Via Rail, the TTC, Go Transit and Amtrak all operate out of the station","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38042, 43.64532]]}"
167,Union Station Bus Terminal,Transportation,416-874-5900,https://www.gotransit.com/en/find-a-station/un/un-new-union-station-bus-terminal-usbt-at-cibc-square,81 Bay St,M5E 1Z8,former Toronto,Toronto,The bus terminal is the intercity transportation hub in Toronto.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37752, 43.64401]]}"
168,Village at Black Creek (Black Creek Pioneer Village),Museum,416-736-1733,https://blackcreek.ca/,1000 Murray Ross Pkwy,M3J 2P3,North York,Toronto,"Become immersed in the lifestyles, customs, and surroundings of early residents who built the foundations for modern Toronto and Ontario at this 30-acre site.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.51507, 43.7726]]}"
169,Village of Yorkville Park,Nature/ Park,416-338-4386,https://www.bloor-yorkville.com/village-yorkville-park-green-space-gem/,115 Cumberland St,M5R 1A6,former Toronto,Toronto,"The Village of Yorkville Park was built on the site of a former parking lot, in the heart of the Bloor Yorkville neighbourhood. The main focal point of the park is the rock which weighs 650 tonnes and is approximately 1 billion years old.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.39168, 43.67002]]}"
170,Ward's Island Beach,Nature/ Park,416-396-7378,http://app.toronto.ca/tpha/beach/6.html,40 Lakeshore Ave,M5J 1X8,former Toronto,Toronto,"Ward's Island beach is located on the most Eastern part of the Toronto Islands. It features a residential neighbourhood, 2 restaurants, a beach and boardwalk.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.35224, 43.63002]]}"
171,Winchester Street Theatre,Performing Arts,None,https://ttdf.ca/,80 Winchester St,M4X 1B2,former Toronto,Toronto,The Winchester Street Theatre is owned and jointly operated by the Toronto Dance Theatre and the School of Toronto Dance Theatre. The venue features rake seating and a stage that best showcases dance performances.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36711, 43.66635]]}"
172,Woodbine Beach,Nature/ Park,416-396-7378,https://www.toronto.ca/data/parks/prd/facilities/complex/311/index.html,1675 Lake Shore Blvd E,M4L 3W6,former Toronto,Toronto,Woodbine Beach is one of the city's main beaches. The park is located over 15.2 hectares.  Features include the Martin Goodman Trail and the Donald D. Summerville Outdoor Olympic Pool.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.30709, 43.66181]]}"
173,Woodbine Racetracks,Attraction,416-675-7223,https://woodbine.com/,555 Rexdale Blvd,M9W 7G3,Etobicoke,Toronto,Offers both Standardbred and Thoroughbred racing and hosts many prominent events (including the Queens Plate)throughout the year.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.60412, 43.71446]]}"
174,Woodbine Shopping Centre and Fantasy Fair,Attraction,437-880-8448,http://www.fantasyfair.ca/,500 Rexdale Blvd,M9W 6K5,Etobicoke,Toronto,The Woodbine Shopping Centre is located in the north western part of the city; close to Pearson Airport and Woodbine Racetrack. Fantasy Fair located within the mall is an indoor amusement park for children.  In 2015 it celebrates 30 years.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.60003, 43.72067]]}"
175,Yorkdale Shopping Centre,Landmark,416-789-3261,https://yorkdale.com/,3401 Dufferin St,M6A 2T9,North York,Toronto,An upscale shopping centre in the northern part of Toronto.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.45217, 43.72543]]}"
176,Young Centre for the Performing Arts,Performing Arts,416-866-8666,https://www.youngcentre.ca/,50 Tank House Lane,M5A 3C4,former Toronto,Toronto,"Opened in 2006 the Young Centre for the Performing Arts has seen more than 250,000 people attend its performances. The theatre is located within the Distillery Historic District.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.35767, 43.65093]]}"
177,Young People's Theatre,Performing Arts,416-862-2222,https://www.youngpeoplestheatre.org/,165 Front St E,M5A 3Z4,former Toronto,Toronto,The Young People Theatre is a part of the Soulpepper theatre company located within the Distillery Historic District.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36882, 43.65006]]}"
178,Yuk Yuk's,Performing Arts,416-967-6431,https://www.yukyuks.com/,224 Richmond St W,M5V 1V6,former Toronto,Toronto,Yuk Yuk's was established as a comedy club by Mark Breslin in 1976. It is located within Toronto's entertainment district and features various comedians doing their stand up routines.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38831, 43.6498]]}"
